link2,redirect_url,status
http://geodata.johnscreekga.gov/datasets/27459e7b528c44cfa8c8d01ac39fb448_0,http://geodata.johnscreekga.gov/datasets/27459e7b528c44cfa8c8d01ac39fb448_0,Client error: (404) Not Found
http://data.coss.opendata.arcgis.com/datasets/115bba1b0fb748649f684b1431f14a06_104,http://data-coss.opendata.arcgis.com/datasets/115bba1b0fb748649f684b1431f14a06_104,Success: (200) OK
http://data-tucker-ga.opendata.arcgis.com/datasets/council-districts,http://data-tucker-ga.opendata.arcgis.com/datasets/council-districts,Success: (200) OK
http://opendata.atlantaregional.com/datasets/aerotropolis-boundary,http://opendata.atlantaregional.com/datasets/aerotropolis-boundary,Success: (200) OK
http://opendata.atlantaregional.com/datasets/employer-service-organizations,http://opendata.atlantaregional.com/datasets/employer-service-organizations,Success: (200) OK
https://earthexplorer.usgs.gov/,https://earthexplorer.usgs.gov/,Success: (200) OK
https://viewer.nationalmap.gov/basic/,https://viewer.nationalmap.gov/basic/,Success: (200) OK
https://irma.nps.gov/DataStore/Reference/Profile/2222402,https://irma.nps.gov/DataStore/Reference/Profile/2222402,Success: (200) OK
https://irma.nps.gov/DataStore/Reference/Profile/1035616,https://irma.nps.gov/DataStore/Reference/Profile/1035616,Success: (200) OK
https://irma.nps.gov/DataStore/Reference/Profile/2225713,https://irma.nps.gov/DataStore/Reference/Profile/2225713,Success: (200) OK
http://opendata.atlantaregional.com/datasets/contour-lines,http://opendata.atlantaregional.com/datasets/contour-lines,Success: (200) OK
http://share.myfultoncountyga.us:8080/geoportal/catalog/search/resource/details.page?uuid%3D%257B57BF2AF0-929D-43A7-B6D3-644F49009BB7%257D,error,error
http://data.coss.opendata.arcgis.com/datasets/ac627b872b7c47e7ac577501f3ce36cc_109,http://data-coss.opendata.arcgis.com/datasets/ac627b872b7c47e7ac577501f3ce36cc_109,Success: (200) OK
http://data.coss.opendata.arcgis.com/datasets/c79b6b66b3fa4585a2c92729e16c8e98_111,http://data-coss.opendata.arcgis.com/datasets/c79b6b66b3fa4585a2c92729e16c8e98_111,Success: (200) OK
http://media.ethics.ga.gov/search/Campaign/Campaign_ByContributions.aspx,http://media.ethics.ga.gov/search/Campaign/Campaign_ByContributions.aspx,Success: (200) OK
http://media.ethics.ga.gov/search/Lobbyist/Lobbyist_ByName.aspx,http://media.ethics.ga.gov/search/Lobbyist/Lobbyist_ByName.aspx,Success: (200) OK
